names,Dice,IoU,Prec,Rec
200.mat,0.8148568188261979,0.6875598086124401,0.7780184082295615,0.8553571428571428
201.mat,0.9012304622547389,0.8202179176755447,0.8516656191074796,0.9569209039548022
202.mat,0.8861967694566814,0.7956493078444298,0.8695965417867435,0.9034431137724551
203.mat,0.0,0.0,0.0,0.0
204.mat,0.0,0.0,0.0,0.0
205.mat,0.7158385093167702,0.5574365175332527,0.967194354377265,0.5681792717086834
206.mat,0.04672897196261682,0.023923444976076555,1.0,0.023923444976076555
207.mat,0.0,0.0,0.0,0.0
208.mat,0.0,0.0,0.0,0.0
209.mat,0.0,0.0,0.0,0.0
210.mat,0.20086439762290653,0.1116449462494745,0.951381780962129,0.11228557622614158
211.mat,0.0,0.0,0.0,0.0
212.mat,0.0,0.0,0.0,0.0
213.mat,0.920563035495716,0.8528177797936274,0.9786597267404034,0.8689774696707105
214.mat,0.8978381153385432,0.8146154642376565,0.9681387624554065,0.8370559455435014
215.mat,0.7335697892760276,0.5792421746293246,0.8630338733431517,0.6378809869375908
216.mat,0.6258816755434,0.455478734548502,0.8798057466612708,0.48570151921358357
217.mat,0.4682306940371456,0.3056796426292278,0.9805527123848515,0.3075441412520064
218.mat,0.6802960874162848,0.5154914529914529,0.9836901121304791,0.5199353448275862
219.mat,0.7550717466600693,0.6065182829888712,0.6722466960352423,0.8611738148984198
220.mat,0.5563130624488682,0.38534189648658856,0.42218543046357615,0.815347721822542
221.mat,0.9328834799373419,0.8742095754290876,0.9663005491762356,0.9017004425809457
222.mat,0.9530817311496163,0.9103688029020556,0.9742801682303461,0.932786123586805
223.mat,0.9727409022761346,0.946928486135067,0.9814356435643564,0.9641988651715753
224.mat,0.9712893454497563,0.9441812828062988,0.9915299811777359,0.9518585441404234
225.mat,0.9546304957904583,0.9131991051454139,0.982036888532478,0.9287122705900197
226.mat,0.9409903881250761,0.8885569852941176,0.983969465648855,0.901608766612264
227.mat,0.8022199798183652,0.6697556866048863,0.8502673796791443,0.7593123209169055
228.mat,0.7774030354131535,0.6358620689655172,0.9808510638297873,0.6438547486033519
229.mat,0.7485928705440901,0.5982008995502249,0.9737644905430141,0.608
230.mat,0.7746365105008077,0.6321687541199736,0.9825819672131147,0.6393333333333333
231.mat,0.8387280764294881,0.7222495088408645,0.9703068294292313,0.7385735811150176
232.mat,0.9476344520824909,0.9004803073967339,0.9951167728237792,0.9044770358934774
233.mat,0.9447155772461797,0.8952236542835481,0.9408764940239044,0.9485861182519281
234.mat,0.9621187274516235,0.9270026860483489,0.9788121454788121,0.9459851660754596
235.mat,0.9607220789525888,0.9244130559267035,0.9799676244435451,0.9422178988326848
236.mat,0.5142156862745098,0.34609039920818213,1.0,0.34609039920818213
237.mat,0.906813627254509,0.8295142071494043,0.9451697127937336,0.8714492055849783
238.mat,0.8943276706017852,0.8088541666666667,0.9249553305539011,0.8656633221850614
239.mat,0.9003021148036254,0.8186813186813187,0.944233206590621,0.8602771362586605
240.mat,0.0,0.0,0.0,0.0
241.mat,0.0,0.0,0.0,0.0
